"keys","de","en_GB","en_IN","en_US","es_ES","es_LA","fr","it","ja","ko","pt_BR","pt_PT","ru","zh_Hans","zh_Hant"
"UI_FSR_BALANCED","FSR Ausgewogen","FSR Balanced","FSR Balanced","FSR Balanced","FSR Equilibrado","FSR Equilibrado","FSR Équilibré","FSR Bilanciato","FSRバランス","FSR 균형","FSR Balanceado","FSR Equilibrado","FSR Сбалансированный","FSR 平衡","FSR 平衡"
"UI_FSR_PERFORMANCE","FSR Leistung","FSR Performance","FSR Performance","FSR Performance","FSR Rendimiento","FSR Rendimiento","FSR Performance","FSR Prestazioni","FSR パフォーマンス","FSR 성능","FSR Desempenho","FSR Desempenho","FSR Производительность","FSR 性能","FSR 效能"
"UI_FSR_QUALITY","FSR Qualität","FSR Quality","FSR Quality","FSR Quality","FSR Calidad","FSR Calidad","FSR Qualité","FSR Qualità","FSR 品質","FSR 품질","FSR Qualidade","FSR Qualidade","FSR Качество","FSR 品质","FSR 品質"
"UI_FSR_ULTRA_PERFORMANCE","FSR Ultra-Leistung","FSR Ultra Performance","FSR Ultra Performance","FSR Ultra Performance","FSR Rendimiento Ultra","FSR Rendimiento Ultra","FSR Performance Ultra","FSR Prestazioni Ultra","FSR ウルトラパフォーマンス","FSR 울트라 성능","FSR Desempenho Ultra","FSR Desempenho Ultra","FSR Ультра производительность","FSR 超高性能","FSR 超高效能"
"UI_FSR_ULTRA_QUALITY","FSR Ultra-Qualität","FSR Ultra Quality","FSR Ultra Quality","FSR Ultra Quality","FSR Calidad Ultra","FSR Calidad Ultra","FSR Qualité Ultra","FSR Qualità Ultra","FSR ウルトラ品質","FSR 울트라 품질","FSR Qualidade Ultra","FSR Qualidade Ultra","FSR Ультра качество","FSR 超高品质","FSR 超高品質"
"UI_FULLSCREEN","Vollbild","Fullscreen","Fullscreen","Fullscreen","Pantalla Completa","Pantalla Completa","Plein Écran","Schermo Intero","フルスクリーン","전체 화면","Tela Cheia","Ecrã Inteiro","Полноэкранный режим","全屏","全螢幕"
"UI_GAMMA_CORRECTION","Gammakorrektur","Gamma Correction","Gamma Correction","Gamma Correction","Corrección Gamma","Corrección Gamma","Correction Gamma","Correzione Gamma","ガンマ補正","감마 보정","Correção Gama","Correção Gama","Гамма-коррекция","伽马校正","伽瑪校正"
"UI_HEALTH","Gesundheit","Health","Health","Health","Vida","Vida","Vie","Salute","体力","체력","Vida","Vida","Здоровье","生命值","生命值"
"UI_INPUTMAP","Tastenbelegung","Key Mapping","Key Mapping","Key Mapping","Mapeo de Teclas","Mapeo de Teclas","Mappage des Touches","Mappatura Tasti","キーマッピング","키 매핑","Mapeamento de Teclas","Mapeamento de Teclas","Назначение клавиш","按键映射","按鍵映射"
"UI_INPUTMAP_OPTIONS","Tastenbelegungsoptionen","Key Mapping Options","Key Mapping Options","Key Mapping Options","Opciones de Mapeo de Teclas","Opciones de Mapeo de Teclas","Options de Mappage des Touches","Opzioni Mappatura Tasti","キーマッピングオプション","키 매핑 옵션","Opções de Mapeamento de Teclas","Opções de Mapeamento de Teclas","Настройки назначения клавиш","按键映射选项","按鍵映射選項"
"UI_INPUT_ACTION","Aktion","Action","Action","Action","Acción","Acción","Action","Azione","アクション","액션","Ação","Ação","Действие","动作","動作"
"UI_INPUT_ACTION_MUSIC_CHANGE","Musik wechseln","Change Music","Change Music","Change Music","Cambiar música","Cambiar música","Changer de musique","Cambia musica","音楽を変更","음악 변경","Trocar Música","Trocar Música","Сменить музыку","切换音乐","切換音樂"
"UI_INPUT_ACTION_PAUSE","Pause","Pause","Pause","Pause","Pausa","Pausa","Pause","Pausa","ポーズ","일시정지","Pausar","Pausar","Пауза","暂停","暫停"
"UI_INPUT_ACTION_TOGGLE_CONSOLE","Konsole umschalten","Toggle Console","Toggle Console","Toggle Console","Alternar consola","Alternar consola","Activer/désactiver la console","Attiva/disattiva console","コンソール切替","콘솔 전환","Alternar Console","Alternar Consola","Переключить консоль","切换控制台","切換主控台"
"UI_INPUT_CATEGORY_GENERAL","Allgemein","General","General","General","General","General","Général","Generale","一般","일반","Geral","Geral","Общее","常规","常規"
"UI_INPUT_CONTROLLER","Controller","Controller","Controller","Controller","Controlador","Controlador","Manette","Controller","コントローラー","컨트롤러","Controle","Comando","Контроллер","控制器","控制器"
"UI_INPUT_KEYBOARD","Tastatur","Keyboard","Keyboard","Keyboard","Teclado","Teclado","Clavier","Tastiera","キーボード","키보드","Teclado","Teclado","Клавиатура","键盘","鍵盤"
"UI_INPUT_MOUSE","Maus","Mouse","Mouse","Mouse","Ratón","Ratón","Souris","Mouse","マウス","마우스","Mouse","Rato","Мышь","鼠标","滑鼠"
"UI_INPUT_PRESS_KEY","Taste drücken...","Press a key...","Press a key...","Press a key...","Pulsa una tecla...","Presiona una tecla...","Appuyez sur une touche...","Premi un tasto...","キーを押してください...","키를 누르세요...","Pressione uma tecla...","Prima uma tecla...","Нажмите клавишу...","按任意键...","按任意鍵..."
"UI_INVENTORY_DROP_BUTTON","Ablegen","Drop","Drop","Drop","Soltar","Soltar","Lâcher","Rilascia","捨てる","버리기","Soltar","Largar","Выбросить","丢弃","丟棄"
"UI_INVENTORY_EMPTY_SLOT","Leerer Platz","Empty Slot","Empty Slot","Empty Slot","Espacio Vacío","Espacio Vacío","Emplacement Vide","Slot Vuoto","空のスロット","빈 슬롯","Slot Vazio","Espaço Vazio","Пустой слот","空槽","空槽"
"UI_INVENTORY_TITLE","Inventar","Inventory","Inventory","Inventory","Inventario","Inventario","Inventaire","Inventario","インベントリ","인벤토리","Inventário","Inventário","Инвентарь","库存","庫存"
"UI_INVENTORY_USE_BUTTON","Benutzen","Use","Use","Use","Usar","Usar","Utiliser","Usa","使用","사용","Usar","Usar","Использовать","使用","使用"
"UI_LANGUAGE","Sprache","Language","Language","Language","Idioma","Idioma","Langue","Lingua","言語","언어","Idioma","Idioma","Язык","语言","語言"
"UI_LANGUAGE_AF","Afrikaans","Afrikaans","Afrikaans","Afrikaans","Afrikáans","Afrikáans","Afrikaans","Afrikaans","アフリカーンス語","아프리칸스어","Africâner","Africâner","Африкаанс","南非荷兰语","南非荷蘭文"
"UI_LANGUAGE_AM","Amharisch","Amharic","Amharic","Amharic","Amárico","Amárico","Amharique","Amarico","アムハラ語","암하라어","Amárico","Amárico","Амхарский","阿姆哈拉语","阿姆哈拉文"
"UI_LANGUAGE_AR","Arabisch","Arabic","Arabic","Arabic","Árabe","Árabe","Arabe","Arabo","アラビア語","아랍어","Árabe","Árabe","Арабский","阿拉伯语","阿拉伯文"
"UI_LANGUAGE_BN","Bengalisch","Bengali","Bengali","Bengali","Bengalí","Bengalí","Bengali","Bengalese","ベンガル語","벵골어","Bengali","Bengali","Бенгальский","孟加拉语","孟加拉文"
"UI_LANGUAGE_DE","Deutsch","German","German","German","Alemán","Alemán","Allemand","Tedesco","ドイツ語","독일어","Alemão","Alemão","Немецкий","德语","德文"
"UI_LANGUAGE_EN_GB","Englisch (Großbritannien)","English (UK)","English (UK)","English (UK)","Inglés (Reino Unido)","Inglés (Reino Unido)","Anglais (R-U)","Inglese (Regno Unito)","英語 (英国)","영어 (영국)","Inglês (Reino Unido)","Inglês (Reino Unido)","Английский (Великобритания)","英语 (英国)","英文 (英國)"
"UI_LANGUAGE_EN_IN","Englisch (Indien)","English (India)","English (India)","English (India)","Inglés (India)","Inglés (India)","Anglais (Inde)","Inglese (India)","英語 (インド)","영어 (인도)","Inglês (Índia)","Inglês (Índia)","Английский (Индия)","英语 (印度)","英文 (印度)"
"UI_LANGUAGE_EN_US","Englisch (USA)","English (US)","English (US)","English (US)","Inglés (EE. UU.)","Inglés (EE. UU.)","Anglais (É-U)","Inglese (USA)","英語 (米国)","영어 (미국)","Inglês (EUA)","Inglês (EUA)","Английский (США)","英语 (美国)","英文 (美國)"
"UI_LANGUAGE_ES_ES","Spanisch (Spanien)","Spanish (Spain)","Spanish (Spain)","Spanish (Spain)","Español (España)","Español (España)","Espagnol (Espagne)","Spagnolo (Spagna)","スペイン語 (スペイン)","스페인어 (스페인)","Espanhol (Espanha)","Espanhol (Espanha)","Испанский (Испания)","西班牙语 (西班牙)","西班牙文 (西班牙)"
"UI_LANGUAGE_ES_LA","Spanisch (Amerika)","Spanish (America)","Spanish (America)","Spanish (America)","Español (América)","Español (América)","Espagnol (Amérique)","Spagnolo (America)","スペイン語 (アメリカ)","스페인어 (아메리카)","Espanhol (América)","Espanhol (América)","Испанский (Америка)","西班牙语 (美洲)","西班牙文 (美洲)"
"UI_LANGUAGE_FIL","Filipino","Filipino","Filipino","Filipino","Filipino","Filipino","Filipino","Filippino","フィリピン語","필리핀어","Filipino","Filipino","Филиппинский","菲律宾语","菲律賓文"
"UI_LANGUAGE_FR","Französisch","French","French","French","Francés","Francés","Français","Francese","フランス語","프랑스어","Francês","Francês","Французский","法语","法文"
"UI_LANGUAGE_HA","Hausa","Hausa","Hausa","Hausa","Hausa","Hausa","Haoussa","Hausa","ハウサ語","하우사어","Hauçá","Haúça","Хауса","豪萨语","豪薩文"
"UI_LANGUAGE_HI","Hindi","Hindi","Hindi","Hindi","Hindi","Hindi","Hindi","Hindi","ヒンディー語","힌디어","Hindi","Hindi","Хинди","印地语","印地文"
"UI_LANGUAGE_ID","Indonesisch","Indonesian","Indonesian","Indonesian","Indonesio","Indonesio","Indonésien","Indonesiano","インドネシア語","인도네시아어","Indonésio","Indonésio","Индонезийский","印度尼西亚语","印尼文"
"UI_LANGUAGE_IT","Italienisch","Italian","Italian","Italian","Italiano","Italiano","Italien","Italiano","イタリア語","이탈리아어","Italiano","Italiano","Итальянский","意大利语","義大利文"
"UI_LANGUAGE_JA","Japanisch","Japanese","Japanese","Japanese","Japonés","Japonés","Japonais","Giapponese","日本語","일본어","Japonês","Japonês","Японский","日语","日文"
"UI_LANGUAGE_KO","Koreanisch","Korean","Korean","Korean","Coreano","Coreano","Coréen","Coreano","韓国語","한국어","Coreano","Coreano","Корейский","韩语","韓文"
"UI_LANGUAGE_NL","Niederländisch","Dutch","Dutch","Dutch","Holandés","Holandés","Néerlandais","Olandese","オランダ語","네덜란드어","Holandês","Holandês","Голландский","荷兰语","荷蘭文"
"UI_LANGUAGE_OPTIONS","Sprachoptionen","Language Options","Language Options","Language Options","Opciones de Idioma","Opciones de Idioma","Options de Langue","Opzioni Lingua","言語","언어 옵션","Opções de Idioma","Opções de Idioma","Настройки языка","语言选项","語言選項"
"UI_LANGUAGE_PL","Polnisch","Polish","Polish","Polish","Polaco","Polaco","Polonais","Polacco","ポーランド語","폴란드어","Polonês","Polaco","Польский","波兰语","波蘭文"
"UI_LANGUAGE_PT_BR","Portugiesisch (Brasilien)","Portuguese (Brazil)","Portuguese (Brazil)","Portuguese (Brazil)","Portugués (Brasil)","Portugués (Brasil)","Portugais (Brésil)","Portoghese (Brasile)","ポルトガル語 (ブラジル)","포르투갈어 (브라질)","Português (Brasil)","Português (Brasil)","Португальский (Бразилия)","葡萄牙语 (巴西)","葡萄牙文 (巴西)"
"UI_LANGUAGE_PT_PT","Portugiesisch (Portugal)","Portuguese (Portugal)","Portuguese (Portugal)","Portuguese (Portugal)","Portugués (Portugal)","Portugués (Portugal)","Portugais (Portugal)","Portoghese (Portogallo)","ポルトガル語 (ポルトガル)","포르투갈어 (포르투갈)","Português (Portugal)","Português (Portugal)","Португальский (Португалия)","葡萄牙语 (葡萄牙)","葡萄牙文 (葡萄牙)"
"UI_LANGUAGE_RU","Russisch","Russian","Russian","Russian","Ruso","Ruso","Russe","Russo","ロシア語","러시아어","Russo","Russo","Русский","俄语","俄文"
"UI_LANGUAGE_SW","Swahili","Swahili","Swahili","Swahili","Suajili","Suajili","Swahili","Swahili","スワヒリ語","스와힐리어","Suaíli","Suaíli","Суахили","斯瓦希里语","斯瓦希里文"
"UI_LANGUAGE_TR","Türkisch","Turkish","Turkish","Turkish","Turco","Turco","Turc","Turco","トルコ語","터키어","Turco","Turco","Турецкий","土耳其语","土耳其文"
"UI_LANGUAGE_VI","Vietnamesisch","Vietnamese","Vietnamese","Vietnamese","Vietnamita","Vietnamita","Vietnamien","Vietnamita","ベトナム語","베트남어","Vietnamita","Vietnamita","Вьетнамский","越南语","越南文"
"UI_LANGUAGE_YO","Yoruba","Yoruba","Yoruba","Yoruba","Yoruba","Yoruba","Yoruba","Yoruba","ヨルバ語","요루바어","Iorubá","Iorubá","Йоруба","约鲁巴语","約魯巴文"
"UI_LANGUAGE_ZH","Chinesisch","Chinese","Chinese","Chinese","Chino","Chino","Chinois","Cinese","中国語","중국어","Chinês","Chinês","Китайский","中文","中文"
"UI_LANGUAGE_ZH_HANS","Chinesisch (vereinfacht)","Chinese (Simplified)","Chinese (Simplified)","Chinese (Simplified)","Chino (Simplificado)","Chino (Simplificado)","Chinois (Simplifié)","Cinese (Semplificato)","中国語 (簡体字)","중국어 (간체)","Chinês (Simplificado)","Chinês (Simplificado)","Китайский (упрощенный)","中文 (简体)","中文 (簡體)"
"UI_LANGUAGE_ZH_HANT","Chinesisch (traditionell)","Chinese (Traditional)","Chinese (Traditional)","Chinese (Traditional)","Chino (Tradicional)","Chino (Tradicional)","Chinois (Traditionnel)","Cinese (Tradizionale)","中国語 (繁体字)","중국어 (번체)","Chinês (Tradicional)","Chinês (Tradicional)","Китайский (традиционный)","中文 (繁体)","中文 (繁體)"
"UI_MAIN_MENU_TITLE","Brunos Vorlage","Bruno's Template","Bruno's Template","Bruno's Template","Plantilla de Bruno","Plantilla de Bruno","Modèle de Bruno","Template di Bruno","ブルーノのテンプレート","브루노의 템플릿","Template do Bruno","Template do Bruno","Шаблон Бруно","布鲁诺的模板","布魯諾的模板"
"UI_MASTER_VOLUME","Gesamtlautstärke","Master","Master","Master","General","General","Général","Generale","マスター","마스터","Geral","Geral","Общая громкость","主音量","主音量"
"UI_MAX_FRAME_RATE","Max. FPS","Max FPS","Max FPS","Max FPS","FPS Máximo","FPS Máximo","FPS Maximum","Max FPS","最大FPS","최대 FPS","FPS Máximo","FPS Máximo","Макс. FPS","最大帧率","最大幀率"
"UI_MONITOR","Monitor","Monitor","Monitor","Monitor","Monitor","Monitor","Moniteur","Monitor","モニター","모니터","Monitor","Monitor","Монитор","显示器","顯示器"
"UI_MUSIC_VOLUME","Musik","Music","Music","Music","Música","Música","Musique","Musica","音楽","음악","Música","Música","Музыка","音乐","音樂"
"UI_NEW_GAME","Neues Spiel","New Game","New Game","New Game","Nuevo Juego","Nuevo Juego","Nouvelle Partie","Nuova Partita","新しいゲーム","새 게임","Novo Jogo","Novo Jogo","Новая игра","新游戏","新遊戲"
"UI_NO","Nein","No","No","No","No","No","Non","No","いいえ","아니요","Não","Não","Нет","否","否"
"UI_NONE","Keine","None","None","None","Ninguno","Ninguno","Aucun","Nessuno","なし","없음","Nenhum","Nenhum","Нет","无","無"
"UI_OPTIONS","Optionen","Options","Options","Options","Opciones","Opciones","Options","Opzioni","オプション","옵션","Opções","Opções","Настройки","选项","選項"
"UI_PAUSE_MENU_TITLE","Pausiert","Paused","Paused","Paused","Pausado","Pausado","En Pause","In Pausa","一時停止中","일시정지됨","Pausado","Pausado","Пауза","已暂停","已暫停"
"UI_QUALITY_HIGH","Hoch","High","High","High","Alta","Alta","Élevée","Alta","高","높음","Alta","Alta","Высокое","高","高"
"UI_QUALITY_LOW","Niedrig","Low","Low","Low","Baja","Baja","Faible","Bassa","低","낮음","Baixa","Baixa","Низкое","低","低"
"UI_QUALITY_MEDIUM","Mittel","Medium","Medium","Medium","Media","Media","Moyenne","Media","中","중간","Média","Média","Среднее","中","中"
"UI_QUIT_CONFIRMATION_PROMPT","Möchten Sie wirklich beenden?","Are you sure you want to quit?","Are you sure you want to quit?","Are you sure you want to quit?","¿Desea realmente salir?","¿Desea realmente salir?","Voulez-vous vraiment quitter ?","Vuoi davvero uscire?","本当に終了しますか？","정말로 종료하시겠습니까?","Deseja realmente sair?","Deseja realmente sair?","Вы действительно хотите выйти?","您确定要退出吗？","您確定要退出嗎？"
"UI_REDUCE_SCREEN_SHAKE","Bildschirmzittern reduzieren","Reduce Screen Shake","Reduce Screen Shake","Reduce Screen Shake","Reducir Temblor de Pantalla","Reducir Temblor de Pantalla","Réduire les Tremblements d'Écran","Riduci Tremolio Schermo","画面揺れを軽減","화면 흔들림 감소","Reduzir Tremor de Tela","Reduzir Tremor de Ecrã","Уменьшить дрожание экрана","减少屏幕抖动","減少螢幕抖動"
"UI_RELOAD_PROMPT","Drücken Sie R zum Nachladen","Press R to Reload","Press R to Reload","Press R to Reload","Pulsa R para Recargar","Presiona R para Recargar","Appuyez sur R pour Recharger","Premi R per Ricaricare","Rを押してリロード","재장전하려면 R을 누르세요","Pressione R para Recarregar","Prima R para Recarregar","Нажмите R для перезарядки","按 R 重新装弹","按 R 重新裝彈"
"UI_RENDER_SCALE","Render-Skalierung","Render Scale","Render Scale","Render Scale","Escala de Renderizado","Escala de Renderizado","Échelle de Rendu","Scala di Rendering","レンダースケール","렌더링 스케일","Escala de Renderização","Escala de Renderização","Масштаб рендеринга","渲染缩放","渲染縮放"
"UI_RESET_DEFAULTS","Auf Standard zurücksetzen","Reset to Defaults","Reset to Defaults","Reset to Defaults","Restablecer valores predeterminados","Restablecer valores predeterminados","Réinitialiser par défaut","Ripristina predefiniti","デフォルトに戻す","기본값으로 재설정","Restaurar Padrões","Restaurar Predefinições","Сбросить настройки","恢复默认设置","恢復預設值"
"UI_RESOLUTION","Auflösung","Resolution","Resolution","Resolution","Resolución","Resolución","Résolution","Risoluzione","解像度","해상도","Resolução","Resolução","Разрешение","分辨率","解析度"
"UI_RESUME_GAME","Spiel fortsetzen","Resume Game","Resume Game","Resume Game","Volver al Juego","Volver al Juego","Reprendre la Partie","Riprendi Partita","ゲームを再開","게임 재개","Voltar ao Jogo","Retomar Jogo","Продолжить игру","继续游戏","繼續遊戲"
"UI_SCALE_100_PERCENT","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%"
"UI_SCALE_125_PERCENT","125%","125%","125%","125%","125%","125%","125%","125%","125%","125%","125%","125%","125%","125%","125%"
"UI_SCALE_150_PERCENT","150%","150%","150%","150%","150%","150%","150%","150%","150%","150%","150%","150%","150%","150%","150%"
"UI_SCALE_175_PERCENT","175%","175%","175%","175%","175%","175%","175%","175%","175%","175%","175%","175%","175%","175%","175%"
"UI_SCALE_200_PERCENT","200%","200%","200%","200%","200%","200%","200%","200%","200%","200%","200%","200%","200%","200%","200%"
"UI_SCALE_PRESET","UI-Skalierung","UI Scale","UI Scale","UI Scale","Escala de la UI","Escala de la UI","Échelle de l'Interface Utilisateur","Scala UI","UIスケール","UI 스케일","Escala da UI","Escala da UI","Масштаб интерфейса","UI缩放","UI縮放"
"UI_SETTINGS_TITLE","Einstellungen","Settings","Settings","Settings","Configuración","Configuración","Paramètres","Impostazioni","設定","설정","Configurações","Definições","Настройки","设置","設定"
"UI_SFX_VOLUME","Soundeffekte","Sound Effects","Sound Effects","Sound Effects","Efectos de Sonido","Efectos de Sonido","Effets Sonores","Effetti Sonori","効果音","음향 효과","Efeitos Sonoros","Efeitos Sonoros","Звуковые эффекты","音效","音效"
"UI_UPSCALE_FSR1","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0","FSR 1.0"
"UI_UPSCALE_FSR2","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0","FSR 2.0"
"UI_UPSCALE_MODE","Upscale-Modus","Upscale Mode","Upscale Mode","Upscale Mode","Modo de Escalado","Modo de Escalado","Mode d'Upscaling","Modalità Upscale","アップスケールモード","업스케일 모드","Modo de Upscale","Modo de Upscale","Режим масштабирования","升频模式","升頻模式"
"UI_UPSCALING_NONE","Keine","None","None","None","Ninguno","Ninguno","Aucun","Nessuno","なし","없음","Nenhum","Nenhum","Нет","无","無"
"UI_UPSCALING_QUALITY","Upscale-Qualität","Upscaling Quality","Upscaling Quality","Upscaling Quality","Calidad de Escalado","Calidad de Escalado","Qualité d'Upscaling","Qualità Upscale","アップスケール品質","업스케일 품질","Qualidade de Upscale","Qualidade de Upscale","Качество масштабирования","升频质量","升頻品質"
"UI_VIDEO","Video","Video","Video","Video","Vídeo","Video","Vidéo","Video","ビデオ","비디오","Vídeo","Vídeo","Видео","视频","視訊"
"UI_VIDEO_OPTIONS","Video-Optionen","Video Options","Video Options","Video Options","Opciones de Vídeo","Opciones de Video","Options Vidéo","Opzioni Video","ビデオオプション","비디오 옵션","Opções de Vídeo","Opções de Vídeo","Настройки видео","视频选项","視訊選項"
"UI_VSYNC","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","VSync","垂直同步","垂直同步"
"UI_VSYNC_ADAPTIVE","Adaptiv","Adaptive","Adaptive","Adaptive","Adaptativo","Adaptativo","Adaptatif","Adattivo","アダプティブ","적응형","Adaptativo","Adaptativo","Адаптивный","自适应","自適應"
"UI_VSYNC_DISABLED","Deaktiviert","Disabled","Disabled","Disabled","Desactivado","Desactivado","Désactivé","Disabilitato","無効","비활성화됨","Desligado","Desativado","Отключено","已禁用","已禁用"
"UI_VSYNC_ENABLED","Aktiviert","Enabled","Enabled","Enabled","Activado","Activado","Activé","Abilitato","有効","활성화됨","Ligado","Ativado","Включено","已启用","已啟用"
"UI_VSYNC_OFF","Aus","Off","Off","Off","Apagado","Apagado","Désactivé","Spento","オフ","끄기","Desligado","Desligado","Выкл.","关闭","關閉"
"UI_VSYNC_ON","An","On","On","On","Encendido","Encendido","Activé","Acceso","オン","켜기","Ligado","Ligado","Вкл.","开启","開啟"
"UI_WINDOW_MODE","Fenstermodus","Window Mode","Window Mode","Window Mode","Modo de Ventana","Modo de Ventana","Mode Fenêtre","Modalità Finestra","ウィンドウモード","창 모드","Modo de Janela","Modo de Janela","Режим окна","窗口模式","視窗模式"
"UI_WINDOW_MODE_BORDERLESS","Fenster ohne Rahmen","Borderless Window","Borderless Window","Borderless Window","Ventana sin Bordes","Ventana sin Bordes","Fenêtre sans Bordure","Finestra senza Bordi","ボーダーレスウィンドウ","테두리 없는 창","Janela sem Bordas","Janela sem Margens","Окно без рамки","无边框窗口","無邊框視窗"
"UI_WINDOW_MODE_FULLSCREEN","Vollbild","Fullscreen","Fullscreen","Fullscreen","Pantalla Completa","Pantalla Completa","Plein Écran","Schermo Intero","フルスクリーン","전체 화면","Tela Cheia","Ecrã Inteiro","Полноэкранный режим","全屏","全螢幕"
"UI_WINDOW_MODE_WINDOWED","Fenster","Windowed","Windowed","Windowed","Ventana","Ventana","Fenêtré","Finestra","ウィンドウ","창 모드","Janela","Janela","В окне","窗口模式","視窗模式"
"UI_YES","Ja","Yes","Yes","Yes","Sí","Sí","Oui","Sì","はい","예","Sim","Sim","Да","是","是"
"WEAPON_BOW_DESC","Eine Fernkampfwaffe für leise Ausschaltungen.","A long-range weapon for silent takedowns.","A long-range weapon for silent takedowns.","A long-range weapon for silent takedowns.","Un arma de largo alcance para eliminaciones silenciosas.","Un arma de largo alcance para eliminaciones silenciosas.","Une arme à longue portée pour des éliminations silencieuses.","Un'arma a lungo raggio per eliminazioni silenziose.","静かな排除のための長距離武器。","조용한 처치를 위한 장거리 무기입니다.","Uma arma de longo alcance para abates silenciosos.","Uma arma de longo alcance para abates silenciosos.","Дальнобойное оружие для бесшумных убийств.","用于无声击杀的远程武器。","用於無聲擊殺的遠程武器。"
"WEAPON_BOW_NAME","Bogen","Bow","Bow","Bow","Arco","Arco","Arc","Arco","弓","활","Arco","Arco","Лук","弓","弓"
"WEAPON_GRENADE_DESC","Sprengvorrichtung für Flächenschaden.","Explosive device for area damage.","Explosive device for area damage.","Explosive device for area damage.","Dispositivo explosivo para daño en área.","Dispositivo explosivo para daño en área.","Dispositif explosif pour des dégâts de zone.","Dispositivo esplosivo per danni ad area.","範囲ダメージを与える爆発装置。","범위 피해를 위한 폭발 장치입니다.","Dispositivo explosivo para dano em área.","Dispositivo explosivo para dano em área.","Взрывное устройство для нанесения урона по области.","用于区域伤害的爆炸装置。","用於區域傷害的爆炸裝置。"
"WEAPON_GRENADE_NAME","Granate","Grenade","Grenade","Grenade","Granada","Granada","Grenade","Granata","手榴弾","수류탄","Granada","Granada","Граната","手榴弹","手榴彈"
"WEAPON_MACHINE_GUN_DESC","Hohe Feuerrate, verheerend auf kurze Distanz.","High rate of fire, devastating at close range.","High rate of fire, devastating at close range.","High rate of fire, devastating at close range.","Alta cadencia de fuego, devastadora a corta distancia.","Alta cadencia de fuego, devastadora a corta distancia.","Cadence de tir élevée, dévastatrice à courte portée.","Alta cadenza di fuoco, devastante a distanza ravvicinata.","高い連射速度、近距離で壊滅的。","높은 발사 속도, 근거리에서 파괴적입니다.","Alta cadência de tiro, devastadora a curta distância.","Alta cadência de tiro, devastadora a curta distância.","Высокая скорострельность, разрушительная на близком расстоянии.","高射速，近距离破坏力强。","高射速，近距離破壞力強。"
"WEAPON_MACHINE_GUN_NAME","Maschinengewehr","Machine Gun","Machine Gun","Machine Gun","Ametralladora","Ametralladora","Mitrailleuse","Mitragliatrice","機関銃","기관총","Metralhadora","Metralhadora","Пулемет","机枪","機槍"
"WEAPON_PISTOL_DESC","Eine zuverlässige Handfeuerwaffe für schnelle Schüsse.","A reliable handgun for quick shots.","A reliable handgun for quick shots.","A reliable handgun for quick shots.","Un arma de mano fiable para disparos rápidos.","Un arma de mano fiable para disparos rápidos.","Une arme de poing fiable pour des tirs rapides.","Una pistola affidabile per colpi rapidi.","素早い射撃のための信頼できるハンドガン。","빠른 사격을 위한 믿을 수 있는 권총입니다.","Uma arma de mão confiável para tiros rápidos.","Uma arma de mão fiável para tiros rápidos.","Надежный пистолет для быстрых выстрелов.","用于快速射击的可靠手枪。","用於快速射擊的可靠手槍。"
"WEAPON_PISTOL_NAME","Pistole","Pistol","Pistol","Pistol","Pistola","Pistola","Pistolet","Pistola","ピストル","권총","Pistola","Pistola","Пистолет","手枪","手槍"
"WEAPON_PUNCH_DESC","Ihr grundlegender Nahkampfangriff.","Your basic melee attack.","Your basic melee attack.","Your basic melee attack.","Tu ataque cuerpo a cuerpo básico.","Tu ataque cuerpo a cuerpo básico.","Votre attaque de mêlée de base.","Il tuo attacco corpo a corpo base.","あなたの基本的な近接攻撃。","기본 근접 공격입니다.","Seu ataque corpo a corpo básico.","O seu ataque corpo a corpo básico.","Ваша базовая рукопашная атака.","你的基本近战攻击。","你的基本近戰攻擊。"
"WEAPON_PUNCH_NAME","Schlag","Punch","Punch","Punch","Puñetazo","Puñetazo","Coup de Poing","Pugno","パンチ","펀치","Soco","Soco","Удар","拳击","拳擊"
"WEAPON_SWORD_DESC","Eine scharfe Klinge für den Nahkampf.","A sharp blade for close combat.","A sharp blade for close combat.","A sharp blade for close combat.","Una hoja afilada para combate cercano.","Una hoja afilada para combate cercano.","Une lame tranchante pour le combat rapproché.","Una lama affilata per il combattimento ravvicinato.","近接戦闘用の鋭い刃。","근접 전투를 위한 날카로운 칼날입니다.","Uma lâmina afiada para combate próximo.","Uma lâmina afiada para combate próximo.","Острое лезвие для ближнего боя.","用于近战的锋利刀刃。","用於近戰的鋒利刀刃。"
"WEAPON_SWORD_NAME","Schwert","Sword","Sword","Sword","Espada","Espada","Épée","Spada","剣","검","Espada","Espada","Меч","剑","劍"
